body,author,title,label,link,time,date,id,
"“Alô Presidente”, pergunta uma mulher identificada como Dona Maria Eulina. “Eu queria saber como está o projeto de transposição do Rio São Francisco aqui no Ceará”, conclui. Assim começa uma ",Gustavo Queiroz, Fotos de ‘cidadãos comuns’ que conversam com Bolsonaro em propaganda vieram de bancos de imagem,,https://piaui.folha.uol.com.br/lupa/2020/07/01/cidadaos-bolsonaro-propaganda-modelos/,17h22,01.jul.2020,1,
"Circula no Facebook uma suposta promoção de smartphones da marca chinesa Xiaomi. Segundo a publicação, que utiliza o logotipo da Xiaomi no perfil, a proposta é ajudar estudantes que precisam de um celular para estudar, e que não estão tendo acesso às aulas por causa da pandemia da Covid-19. As primeiras 2.500 pessoas que conseguirem escrever letra por letra “G_A_N_A_R” nos comentários, sem serem interrompidos por outros usuários, ganhariam o aparelho. Por meio do ​",Ítalo Rômany, #Verificamos: É falso que Xiaomi Brasil esteja doando celulares a estudantes em isolamento por causa da Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/07/01/verificamos-xiaomi-celulares-covid/,18h08,01.jul.2020,2,
"Circula nas redes sociais uma reportagem sobre uma operação da Polícia Federal que prendeu diversas pessoas em Alagoas, sendo oito prefeitos. A legenda do vídeo diz que a operação seria fruto da luta contra a corrupção do governo do presidente Jair Bolsonaro (sem partido). Por meio do ​",Ítalo Rômany, #Verificamos: É antigo vídeo de operação da PF em Alagoas que circula nas redes sociais,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/30/verificamos-video-operacao-alagoas/,19h33,30.jun.2020,3,
"Circula nas redes sociais que o Supremo Tribunal Federal (STF) afastou o presidente Jair Bolsonaro (sem partido) do controle da Covid-19, deixando essa responsabilidade exclusivamente para os governadores e prefeitos. ",Nathália Afonso, #Verificamos: É falso que STF afastou Bolsonaro do controle de ações estratégicas contra pandemia de Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/07/01/verificamos-stf-bolsonaro-covid/,17h43,01.jul.2020,4,
Circula nas redes sociais que o ,Nathália Afonso, #Verificamos: É falso que Nobel da Paz deixou equipe de combate à Covid-19 após receber orientações para manipular dados,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/30/verificamos-nobel-paz-covid/,18h24,30.jun.2020,5,
"Diz o ditado que “quem conta um conto aumenta um ponto”. De uma desinformação a outra, posts falsos que circularam por pelo menos 18 países, de janeiro a junho, transformaram uma bactéria na verdadeira responsável pelas mortes de Covid-19. Sem nenhum respaldo científico, essa teoria da conspiração foi moldada aos poucos e colocou o novo coronavírus, real causador da doença, no papel de simples coadjuvante na pandemia. Nas versões mais recentes, a bactéria ganhou superpoderes, tornando-se ainda mais letal graças ao 5G – nova tecnologia ultraveloz de transmissão de dados móveis.",Maurício Moraes, Teorias conspiratórias elevaram bactéria a ‘causa de mortes’ por Covid-19,,https://piaui.folha.uol.com.br/lupa/2020/06/30/coronaverificado-bacteria/,08h00,30.jun.2020,6,
O que você precisa saber:,Jaqueline Sordi," Lupa na Ciência: Exposição ao Sol não previne infecção pelo novo coronavírus, alertam especialistas",,https://piaui.folha.uol.com.br/lupa/2020/07/01/lupa-na-ciencia-sol/,12h00,01.jul.2020,7,
Circula nas redes sociais uma imagem com soldados do Exército nas obras da transposição do Rio São Francisco. A legenda sugere que a foto é recente e seria fruto do trabalho do governo do presidente Jair Bolsonaro (sem partido) que a mídia tenta “esconder”. Por meio do ​,Ítalo Rômany, #Verificamos: É antiga foto de soldados do Exército em obras da transposição do Rio São Francisco,FALSO,https://piaui.folha.uol.com.br/lupa/2020/07/01/verificamos-foto-exercito-transposicao/,16h27,01.jul.2020,8,
"Circula nas redes sociais um post que compara obras de infraestrutura supostamente construídas durante a gestão do presidente Jair Bolsonaro (sem partido) com as das gestões dos ex-presidentes Luiz Inácio Lula da Silva (PT) e Dilma Rousseff (PT). Segundo a legenda, obras paradas ou atrasadas foram prontamente finalizadas durante os 18 meses da gestão Bolsonaro, a exemplo de rodovias, ferrovias e transposição do Rio São Francisco. Por meio do ​",Ítalo Rômany, #Verificamos: Fotos de obras que circulam nas redes sociais não são de inaugurações do governo Bolsonaro,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/29/verificamos-obras-bolsonaro/,16h50,29.jun.2020,9,
"Circula nas redes sociais que o atual prefeito de São Paulo, Bruno Covas (PSDB), usou a cloroquina, medicamento usado no tratamento e profilaxia da malária, em seu tratamento de Covid-19. De acordo com o conteúdo, Covas teria dado esta informação à CNN Brasil. O prefeito contraiu a doença em 13 de junho, e já está curado. ",Gustavo Queiroz, #Verificamos: É falso que prefeito de São Paulo usou cloroquina em seu tratamento para Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/29/verificamos-covas-cloroquina-tratamento/,13h43,29.jun.2020,10,
O que você precisa saber:,Jaqueline Sordi, Lupa na Ciência: Estudo sugere que tipo sanguíneo interfere no risco de contrair Covid-19,,https://piaui.folha.uol.com.br/lupa/2020/06/29/lupa-na-saude-tipo-sanguineo/,12h00,29.jun.2020,11,
"O novo ministro da Educação, Carlos Alberto Decotelli da Silva, sustentou informações falsas em seu currículo Lattes. Decotelli afirmava até o início da noite da última sexta-feira (26) que ",Nathália Afonso," Nem doutorado, nem pós-doutorado: Decotelli atualiza currículo após ser desmentido por universidades",,https://piaui.folha.uol.com.br/lupa/2020/06/26/decotelli-curriculo-reitor/,21h43,26.jun.2020,12,
"Circula nas redes sociais uma foto de uma criança que, segundo a legenda, sofreu um acidente e precisa de ajuda financeira para realizar uma cirurgia urgente. O post diz ainda que, para cada comentário com a palavra “Amém”, a criança ganharia R$ 5,00; para quem compartilhasse, o valor arrecadado seria de R$ 20,00. Por meio do ​",Ítalo Rômany," #Verificamos: Foto de garoto que depende de ‘cirurgia urgente’ é, na verdade, de vítima da guerra civil no Iêmen",FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/25/verificamos-garoto-guerra-iemen/,19h59,25.jun.2020,13,
O que você precisa saber:,Jaqueline Sordi, Lupa na Ciência: Estudos indicam relação entre coronavírus e danos neurológicos,,https://piaui.folha.uol.com.br/lupa/2020/06/26/lupa-na-ciencia-neurologicos/,12h00,26.jun.2020,14,
"Circula nas redes sociais um post que diz o Partido Comunista Chinês comprou a TV Bandeirantes. A publicação sugere que, por isso, o apresentador Luís Ernesto Lacombe foi demitido pela emissora, devido a críticas ao “projeto chinês de comprar o Brasil” feitas pelo blogueiro Allan dos Santos, do site Terça Livre, entrevistado por Lacombe na última terça-feira (23), durante o programa Aqui na Band. Por meio do ​",Ítalo Rômany, #Verificamos: É falso que TV Bandeirantes foi comprada pelo Partido Comunista Chinês,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/26/verificamos-bandeirantes-comunista-chines/,18h07,26.jun.2020,15,
Circula pelas redes sociais uma lista de senadores que teriam sido contrários à aprovação do novo marco legal do saneamento básico. O ,Maurício Moraes, #Verificamos: Lista de votos contra nova lei do saneamento inclui senador favorável e omite parlamentares,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/25/verificamos-votos-contra-nova-lei-saneamento/,15h15,25.jun.2020,16,
"Circula nas redes sociais uma publicação que diz que, como diretor-executivo do conselho administrativo do Banco Mundial, o ex-ministro da Educação Abraham Weintraub teria acesso a dados e informações financeiras de todos os ministros do STF. Por meio do ​",Ítalo Rômany, #Verificamos: É falso que Weintraub terá acesso a dados financeiros de ministros do STF no Banco Mundial,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/26/verificamos-weintraub-stf-banco/,19h59,26.jun.2020,17,
"Circula nas redes sociais tuítes que supostamente foram publicados pelo novo ministro da Educação, Carlos Alberto Decotelli da Silva",Nathália Afonso, #Verificamos: É falso que novo ministro da Educação ofendeu artistas e jornalistas no Twitter,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/26/verificamos-ministro-ofendeu-artistas/,13h15,26.jun.2020,18,
